,Open,High,Low,Close,Adj Close,Volume
2006-05-08 00:00:00,40.914917,41.358376,40.588158,40.634838,26.61006,1371768.0
2006-05-09 00:00:00,40.774876,41.194996,40.728195,41.148315,26.946316,1716722.0
2006-05-10 00:00:00,41.124977,41.381718,40.961597,41.078297,26.900465,1354232.0
2006-05-11 00:00:00,41.008278,41.545094,40.938255,41.031616,26.869894,3864953.0
2006-05-12 00:00:00,41.008278,41.171658,40.168037,40.331417,26.411366,3778805.0
2006-05-15 00:00:00,40.821556,40.821556,39.561199,39.561199,25.906984,3612721.0
2006-05-16 00:00:00,39.07106,39.187759,38.557583,38.580921,25.852249,2450910.0
2006-05-17 00:00:00,38.604263,38.907681,37.530624,37.553967,25.164106,2961301.0
2006-05-18 00:00:00,37.110504,37.927402,36.947128,37.343906,25.023348,4182803.0
2006-05-19 00:00:00,37.040485,37.647324,36.480328,36.923786,24.741837,3751826.0
2006-05-22 00:00:00,37.227207,37.227207,36.013531,36.433647,24.413403,6983496.0
2006-05-23 00:00:00,36.830425,38.417542,36.760406,37.904064,25.398697,4088412.0
2006-05-24 00:00:00,37.577305,38.254166,37.133846,37.927402,25.414337,3702061.0
2006-05-25 00:00:00,38.044106,38.604263,37.600643,38.394203,25.727131,1966196.0
2006-05-26 00:00:00,38.861004,39.374481,38.69762,39.374481,26.383995,2613815.0
2006-05-29 00:00:00,39.211102,39.374481,38.931023,39.07106,26.180681,795091.0
2006-05-30 00:00:00,38.931023,39.187759,37.740685,37.857384,25.367414,2975273.0
2006-05-31 00:00:00,37.390587,38.090782,37.110504,37.857384,25.367414,2735623.0
2006-06-01 00:00:00,37.764027,38.020763,37.367245,37.834045,25.440002,1378195.0
2006-06-02 00:00:00,38.464222,38.604263,37.857384,37.927402,25.502779,2716176.0
2006-06-05 00:00:00,38.044106,38.230824,37.390587,37.670666,25.330147,1106690.0
2006-06-06 00:00:00,37.110504,37.553967,36.783749,36.783749,24.73377,2585400.0
2006-06-07 00:00:00,37.063828,37.250546,36.667049,37.063828,24.922104,1678526.0
2006-06-08 00:00:00,36.316948,37.460606,36.270267,36.527008,24.561138,4047250.0
2006-06-09 00:00:00,37.227207,37.367245,36.760406,37.017147,24.890709,2799424.0
2006-06-12 00:00:00,37.740685,37.920403,36.99614,37.124512,24.962908,2056299.0
2006-06-13 00:00:00,36.893444,37.25288,36.251598,36.534012,24.565844,3307108.0
2006-06-14 00:00:00,36.354294,37.098835,36.251598,36.585358,24.600372,1914334.0
2006-06-15 00:00:00,36.816422,37.381248,36.816422,37.278553,25.066481,2197372.0
2006-06-16 00:00:00,37.946075,38.048771,37.124512,37.278553,25.066481,3641514.0
2006-06-19 00:00:00,37.278553,38.125793,37.278553,37.766357,25.394493,2406767.0
2006-06-20 00:00:00,37.381248,37.792034,37.278553,37.715012,25.359966,1480735.0
2006-06-21 00:00:00,37.89473,38.151466,37.432598,38.048771,25.584385,1470740.0
2006-06-22 00:00:00,38.536575,38.587925,37.715012,37.920403,25.498072,1807003.0
2006-06-23 00:00:00,38.074448,38.459557,37.89473,38.151466,25.653437,1038309.0
2006-06-26 00:00:00,38.048771,38.459557,37.766357,37.817707,25.429024,1203002.0
2006-06-27 00:00:00,38.100121,38.151466,37.612316,37.740685,25.377226,1397674.0
2006-06-28 00:00:00,37.509621,38.023098,37.432598,37.612316,25.290909,1653673.0
2006-06-29 00:00:00,37.869053,38.305511,37.586639,38.228489,25.705233,1821948.0
2006-06-30 00:00:00,38.562252,39.28112,38.408207,39.101402,26.292187,1861689.0
2006-07-03 00:00:00,39.255447,39.306793,38.896011,39.152752,26.326714,1162494.0
2006-07-04 00:00:00,39.127075,39.255447,38.947361,39.127075,26.309448,791444.0
2006-07-05 00:00:00,38.921684,39.101402,38.331184,38.587925,25.94692,1264476.0
2006-07-06 00:00:00,38.562252,39.229774,38.485229,39.024384,26.240396,1580618.0
2006-07-07 00:00:00,38.510902,38.870338,38.43388,38.69062,26.015978,1712063.0
2006-07-10 00:00:00,38.382534,38.870338,38.254166,38.844666,26.119556,1345302.0
2006-07-11 00:00:00,38.587925,38.921684,38.485229,38.587925,25.94692,1333632.0
2006-07-12 00:00:00,38.896011,39.33247,38.716293,38.844666,26.119556,1049827.0
2006-07-13 00:00:00,38.536575,38.613598,37.817707,38.100121,25.618914,1757140.0
2006-07-14 00:00:00,37.689339,38.125793,37.483944,37.586639,25.273647,1130064.0
2006-07-17 00:00:00,37.483944,37.766357,37.175858,37.355576,25.118279,1496685.0
2006-07-18 00:00:00,37.406925,37.766357,37.098835,37.278553,25.066481,1523050.0
2006-07-19 00:00:00,37.30423,38.382534,37.20153,38.305511,25.757021,1960198.0
2006-07-20 00:00:00,38.408207,38.818989,38.074448,38.664948,25.998713,1250809.0
2006-07-21 00:00:00,38.43388,39.024384,38.202816,38.382534,25.808813,1623888.0
2006-07-24 00:00:00,38.562252,39.358143,38.510902,39.306793,26.430298,1259210.0
2006-07-25 00:00:00,39.409492,39.460838,38.870338,39.075729,26.274921,1506679.0
2006-07-26 00:00:00,38.973034,39.409492,38.973034,39.229774,26.378504,1469338.0
2006-07-27 00:00:00,39.358143,39.614883,39.101402,39.537861,26.585665,1851772.0
2006-07-28 00:00:00,39.204098,40.898579,39.204098,40.77021,27.414307,2711563.0
2006-07-31 00:00:00,40.898579,41.001274,40.410774,40.564819,27.276207,1742128.0
2006-08-01 00:00:00,40.77021,40.821556,39.383816,39.537861,26.585665,1967431.0
2006-08-02 00:00:00,39.589207,40.128361,39.33247,40.025665,26.91367,1445255.0
2006-08-03 00:00:00,40.231056,40.231056,39.33247,39.717579,26.706516,1187387.0
2006-08-04 00:00:00,39.794601,40.616165,39.768925,40.539143,27.25894,1570183.0
2006-08-07 00:00:00,39.948643,40.051338,39.127075,39.486511,26.551136,1622630.0
2006-08-08 00:00:00,39.768925,39.794601,39.075729,39.28112,26.413029,1369061.0
2006-08-09 00:00:00,39.460838,39.897297,39.050056,39.666229,26.671986,1358490.0
2006-08-10 00:00:00,39.28112,39.486511,38.998707,39.33247,26.447559,1158116.0
2006-08-11 00:00:00,39.460838,39.717579,39.255447,39.486511,26.551136,841920.0
2006-08-14 00:00:00,39.589207,40.282406,39.589207,39.820274,26.775568,1170416.0
2006-08-15 00:00:00,39.537861,40.693188,39.537861,40.590492,27.293468,1458432.0
2006-08-16 00:00:00,40.410774,40.898579,40.128361,40.718861,27.379786,1276119.0
2006-08-17 00:00:00,40.539143,41.078297,40.539143,41.026951,27.586945,1416744.0
2006-08-18 00:00:00,41.001274,41.463406,40.898579,41.078297,27.621469,1418621.0
2006-08-21 00:00:00,40.924252,40.949928,40.462124,40.77021,27.414307,1094849.0
2006-08-22 00:00:00,41.052624,41.078297,40.51347,40.949928,27.53516,1221830.0
2006-08-23 00:00:00,40.795883,40.898579,40.385101,40.51347,27.241674,1062190.0
2006-08-24 00:00:00,40.385101,40.949928,40.205383,40.744534,27.397047,1547507.0
2006-08-25 00:00:00,40.847233,41.566101,40.616165,41.437733,27.863163,2129213.0
2006-08-28 00:00:00,41.258015,41.848515,41.026951,41.745819,28.070318,935298.0
2006-08-29 00:00:00,41.668797,42.284969,41.668797,41.89986,28.173895,1445871.0
2006-08-30 00:00:00,41.848515,42.361992,41.848515,42.284969,28.43285,1023454.0
2006-08-31 00:00:00,42.361992,42.361992,42.053905,42.284969,28.43285,2000538.0
2006-09-01 00:00:00,42.413342,43.029514,42.259296,42.721428,28.726328,2282793.0
2006-09-04 00:00:00,42.387669,42.387669,41.540428,41.797169,28.104849,3847364.0
2006-09-05 00:00:00,41.437733,41.643124,41.232342,41.335037,27.794107,2074660.0
2006-09-06 00:00:00,41.206665,41.283688,40.616165,40.795883,27.431572,2348782.0
2006-09-07 00:00:00,40.564819,40.693188,40.282406,40.436447,27.189882,1657011.0
2006-09-08 00:00:00,40.487797,40.539143,40.102688,40.410774,27.172623,1541976.0
2006-09-11 00:00:00,40.308079,40.487797,39.974316,40.308079,27.103571,1283032.0
2006-09-12 00:00:00,40.462124,40.821556,39.999992,40.77021,27.414307,2064658.0
2006-09-13 00:00:00,41.001274,41.052624,40.616165,40.924252,27.517889,1581993.0
2006-09-14 00:00:00,40.949928,41.001274,40.359425,40.693188,27.362522,1637403.0
2006-09-15 00:00:00,40.487797,40.898579,40.308079,40.693188,27.362522,3668607.0
2006-09-18 00:00:00,40.462124,40.924252,40.359425,40.667515,27.345257,1363004.0
2006-09-19 00:00:00,40.564819,40.641842,39.999992,40.256729,27.069038,2140186.0
2006-09-20 00:00:00,40.359425,40.949928,40.077011,40.847233,27.466105,1842678.0
2006-09-21 00:00:00,40.872906,41.206665,40.616165,40.872906,27.483362,1245516.0
2006-09-22 00:00:00,40.539143,40.667515,40.051338,40.256729,27.069038,1495637.0
2006-09-25 00:00:00,40.333752,41.129642,40.308079,40.641842,27.327997,1539724.0
2006-09-26 00:00:00,40.949928,41.463406,40.693188,41.258015,27.742317,2681053.0
2006-09-27 00:00:00,41.335037,41.540428,40.898579,41.232342,27.725056,1731931.0
2006-09-28 00:00:00,41.180992,41.514751,40.924252,41.206665,27.707792,1512132.0
2006-09-29 00:00:00,41.155319,41.514751,41.129642,41.309361,27.776844,999355.0
2006-10-02 00:00:00,41.437733,41.822842,41.309361,41.591774,27.966736,1446054.0
2006-10-03 00:00:00,41.129642,41.386383,40.821556,41.232342,27.725056,1497125.0
2006-10-04 00:00:00,41.155319,41.89986,41.155319,41.591774,27.966736,1736660.0
2006-10-05 00:00:00,41.668797,41.976883,41.489079,41.720146,28.053059,1369194.0
2006-10-06 00:00:00,41.540428,41.720146,41.10397,41.463406,27.880426,1424725.0
2006-10-09 00:00:00,41.10397,41.437733,41.001274,41.437733,27.863163,1306305.0
2006-10-10 00:00:00,41.591774,41.591774,41.155319,41.386383,27.828632,1046037.0
2006-10-11 00:00:00,41.129642,41.386383,40.77021,41.078297,27.621469,1825427.0
2006-10-12 00:00:00,41.258015,42.105255,40.949928,42.105255,28.312002,2039523.0
2006-10-13 00:00:00,42.105255,42.207951,41.437733,41.591774,27.966736,1909874.0
